filename,expected,predicted,correct,cer,wer,time_ms
041HN.jpg,041HN,0411TIMES1011,0,2.0,1.0,146.5
065CF.jpg,065CF,015CF,0,0.2,1.0,37.6
084LK.jpg,084LK,084LK,1,0.0,0.0,40.6
10FT07.jpg,10FT07,R0105,0,0.6667,1.0,46.4
10FT07_1.jpg,10FT07,MATQ40,0,1.0,1.0,38.1
10FT07_2.jpg,10FT07,NOTROT9,0,1.1667,1.0,37.8
115FT.jpg,115FT,EVERT15CDOTRT,0,2.0,1.0,45.2
1474DPG.jpg,1474DPG,3740PG,0,0.4286,1.0,36.6
1474DPG_1.jpg,1474DPG,4740PG,0,0.2857,1.0,36.7
170ZW.jpg,170ZW,170ZH,0,0.2,1.0,36.5
1903ZD69.jpg,1903ZD69,190337069,0,0.375,1.0,36.4
1928KS69.jpg,1928KS69,192168MSA,0,0.625,1.0,41.5
1928KS69_1.jpg,1928KS69,E23B12DBB,0,1.125,1.0,40.1
1945SL69.jpg,1945SL69,1945SL69,1,0.0,0.0,40.4
1945SL69_1.jpg,1945SL69,1945SL69,1,0.0,0.0,41.4
20160232.jpg,20160232,390101121,0,0.75,1.0,36.5
217AK.jpg,217AK,2746,0,0.6,1.0,49.4
218AFM69.jpg,218AFM69,ZK8AFH69,0,0.375,1.0,40.7
230BJE69.jpg,230BJE69,230COMPOUNDWIREREEL,0,1.875,1.0,41.9
2750XW69.jpg,2750XW69,2750XW63,0,0.125,1.0,40.8
2750XW69_1.jpg,2750XW69,2750XW69,1,0.0,0.0,40.7
288BJJ69.jpg,288BJJ69,28884469,0,0.375,1.0,56.3
316ZC.jpg,316ZC,316ZC,1,0.0,0.0,36.4
32TX.jpg,32TX,32TX23,0,0.5,1.0,53.7
351AGW69.jpg,351AGW69,35AGW69,0,0.125,1.0,40.6
3778WP69.jpg,3778WP69,3778VP69,0,0.125,1.0,46.9
3778WP69_1.jpg,3778WP69,3778WP69,1,0.0,0.0,39.2
414TA53.jpg,414TA53,4CDOT14TA53,0,0.5714,1.0,61.3
4353SZ53.jpg,4353SZ53,4353SZ53,1,0.0,0.0,40.6
438YY.jpg,438YY,AFALSEEYELASHES,0,2.8,1.0,38.0
43980687.jpg,43980687,13TIMES98TIMES06TIMES87,0,2.0,1.0,65.0
464ZN69.jpg,464ZN69,464ZN69,1,0.0,0.0,40.0
464ZN69_1.jpg,464ZN69,464ZN69,1,0.0,0.0,39.1
466NT.jpg,466NT,ANGLEBAD120CIRC,0,3.0,1.0,45.1
520ANV69.jpg,520ANV69,520ANV69,1,0.0,0.0,39.0
542DHK38.jpg,542DHK38,542DHK38,1,0.0,0.0,39.0
549FP.jpg,549FP,E49CDOTFP,0,1.0,1.0,40.2
600AWQ69.jpg,600AWQ69,600AWQ69,1,0.0,0.0,38.8
6039SG53.jpg,6039SG53,6039SG53,1,0.0,0.0,38.9
6044RJ69.jpg,6044RJ69,6044RJ69,1,0.0,0.0,39.7
628AVM69.jpg,628AVM69,628ANM69,0,0.125,1.0,39.2
66RE.jpg,66RE,CATL2,0,1.25,1.0,36.5
68MC.jpg,68MC,FRACECMC,0,1.5,1.0,45.3
6CK.jpg,6CK,SMILESCCCCH1OC1CCCSMILES,0,7.6667,1.0,58.5
6H787GJ.jpg,6H787GJ,GHCDOT787GCDOTJ,0,1.2857,1.0,49.2
7090100.jpg,7090100,7090100,1,0.0,0.0,38.8
7090100_1.jpg,7090100,7090100,1,0.0,0.0,39.3
762CB.jpg,762CB,17218,0,0.8,1.0,38.1
790RS.jpg,790RS,790RS,1,0.0,0.0,39.0
794BBG69.jpg,794BBG69,794BBQ69,0,0.125,1.0,36.5
80117SM.jpg,80117SM,010TEMPER,0,1.0,1.0,38.8
808AJF69.jpg,808AJF69,808AJF69,1,0.0,0.0,39.2
808AJF69_1.jpg,808AJF69,800AJF6J,0,0.25,1.0,40.1
8097YS4.jpg,8097YS4,8097VS4,0,0.1429,1.0,40.3
819ATZ69.jpg,819ATZ69,8531DIV16570,0,1.125,1.0,64.7
8360YF69.jpg,8360YF69,8360YF69,1,0.0,0.0,40.2
849WA62.jpg,849WA62,849WA62,1,0.0,0.0,36.7
849WA62_1.jpg,849WA62,849WA62,1,0.0,0.0,37.9
863BBR69.jpg,863BBR69,863BBR69,1,0.0,0.0,38.9
8680ZM69.jpg,8680ZM69,6680ZM69,0,0.125,1.0,40.2
877ATP69.jpg,877ATP69,877ATP69,1,0.0,0.0,37.8
8HT.jpg,8HT,B3417,0,1.6667,1.0,48.8
916BHN06.jpg,916BHN06,916B06,0,0.25,1.0,40.4
916BHN06_1.jpg,916BHN06,916BHN06,1,0.0,0.0,42.9
928QS.jpg,928QS,928QS,1,0.0,0.0,38.7
954MR.jpg,954MR,354MR,0,0.2,1.0,38.1
960FN.jpg,960FN,960FN,1,0.0,0.0,40.0
970GA.jpg,970GA,970GAL,0,0.2,1.0,39.8
991BLT69.jpg,991BLT69,991BLT69,1,0.0,0.0,37.7
AA025HX.jpg,AA025HX,AA025HX,1,0.0,0.0,39.2
AA181DH.jpg,AA181DH,AH181DH,0,0.1429,1.0,38.9
AA194VD.jpg,AA194VD,AA194VD,1,0.0,0.0,40.3
AA194VD_1.jpg,AA194VD,AA194VD,1,0.0,0.0,39.9
AA245LB.jpg,AA245LB,NFA245LB,0,0.2857,1.0,40.6
AA245LB_1.jpg,AA245LB,108A245LB,0,0.4286,1.0,42.8
AA249.jpg,AA249,AA249,1,0.0,0.0,38.2
AA249EL.jpg,AA249EL,BEGINALIGNAARM249RMELENDALIGN,0,3.1429,1.0,59.0
AA329XK.jpg,AA329XK,1AAA329XXI,0,0.5714,1.0,41.4
AA448CD.jpg,AA448CD,AA448CD,1,0.0,0.0,38.9
AA675LD.jpg,AA675LD,AAA675LD,0,0.1429,1.0,38.8
AA865MX.jpg,AA865MX,AA865MX,1,0.0,0.0,39.5
AB107JS.jpg,AB107JS,AB107JS,1,0.0,0.0,40.2
AB309GX.jpg,AB309GX,AB309GX74,0,0.2857,1.0,41.4
AB309GX_1.jpg,AB309GX,AB309GX,1,0.0,0.0,40.2
AB330LH.jpg,AB330LH,AB330LH,1,0.0,0.0,39.3
AB330LH_1.jpg,AB330LH,AB330LH,1,0.0,0.0,40.0
AB374GE.jpg,AB374GE,AB374GE,1,0.0,0.0,39.3
AB476RW.jpg,AB476RW,A8476,0,0.4286,1.0,38.3
AB688LP.jpg,AB688LP,AB688LP,1,0.0,0.0,39.5
AB688LP_1.jpg,AB688LP,A8688LP,0,0.1429,1.0,40.4
AB7828EC.jpg,AB7828EC,AB7828EC,1,0.0,0.0,39.2
AB7828EC_1.jpg,AB7828EC,AB7828EC,1,0.0,0.0,39.0
AB904SR.jpg,AB904SR,A8904SRI,0,0.2857,1.0,40.7
AB972NB.jpg,AB972NB,AB972NB,1,0.0,0.0,39.3
AC258ES.jpg,AC258ES,AC258ES,1,0.0,0.0,39.1
AC393GB.jpg,AC393GB,AC393GB,1,0.0,0.0,39.8
AC694ZD.jpg,AC694ZD,AC6924ZD,0,0.1429,1.0,41.6
AC704KF.jpg,AC704KF,AC704KF,1,0.0,0.0,39.0
